timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1480499939.86,-0.083129,0.583790,2.902682,0.268877,-0.567052,0.175552,-0.069281,-0.551190,-0.831498,-0.238748,-0.443500,-0.925780,2.267494,-32.917305,13.316990,,,,,,
1480499939.87,-0.091915,0.587864,2.903549,0.425945,-0.829397,-0.009500,-0.076377,-0.554585,-0.828614,-0.210579,-0.574672,-1.258330,1.871671,-32.919479,13.372999,,,,,,
1480499939.88,-0.099359,0.593906,2.903304,0.611571,-0.614293,-0.079509,-0.082210,-0.559603,-0.824674,-0.341847,-0.793394,-1.512790,1.871671,-32.919479,13.372999,,,,,,
1480499939.89,-0.100627,0.601890,2.903718,0.777054,0.102744,-0.028311,-0.082804,-0.566201,-0.820098,-0.307577,-0.807655,-1.644502,2.099886,-32.781796,13.673958,,,,,,
1480499939.90,-0.093676,0.609502,2.903697,0.664696,0.807701,-0.107081,-0.076696,-0.572460,-0.816338,-0.202815,-0.698292,-1.654151,2.099886,-32.781796,13.673958,,,,,,
1480499939.91,-0.079961,0.614978,2.900797,0.430413,1.197753,-0.322201,-0.065242,-0.576940,-0.814176,-0.202733,-0.610926,-1.577501,-1.864166,-31.669458,16.145084,,,,,,
1480499939.92,-0.062824,0.618113,2.894400,0.207357,1.263961,-0.569593,-0.051166,-0.579498,-0.813366,-0.301327,-0.670059,-1.054264,-1.969729,-31.589783,16.288010,,,,,,
1480499939.93,-0.042388,0.619806,2.884007,0.098482,1.384169,-0.888054,-0.034493,-0.580877,-0.813260,-0.318001,-0.668680,-1.054370,-1.969729,-31.589783,16.288010,,,,,,
1480499939.94,-0.019492,0.622076,2.869311,0.226154,1.289889,-1.179996,-0.015839,-0.582724,-0.812516,-0.341705,-0.714304,-0.826537,-1.983656,-31.552370,16.358677,,,,,,
1480499939.95,0.001018,0.626305,2.852564,0.429779,0.909867,-1.295974,0.000825,-0.586155,-0.810199,-0.340318,-0.637860,-0.656018,-1.983656,-31.552370,16.358677,,,,,,
1480499939.96,0.018629,0.631518,2.835034,0.517670,0.612113,-1.331666,0.015036,-0.590371,-0.806992,-0.230596,-0.397239,-0.550857,-1.586193,-31.500107,16.502140,,,,,,
1480499939.98,0.037107,0.637683,2.814133,0.665900,0.600540,-1.664218,0.029808,-0.595335,-0.802924,-0.202675,-0.297182,-0.483544,-1.586193,-31.500107,16.502140,,,,,,
1480499939.99,0.061626,0.645730,2.788100,0.908169,0.899858,-1.928276,0.049187,-0.601782,-0.797145,-0.179223,-0.185053,-0.397908,-0.842111,-31.337852,16.861885,,,,,,
1480499940.00,0.083679,0.654667,2.770279,0.913175,1.133997,-0.962300,0.066301,-0.608895,-0.790475,-0.135545,-0.142829,-0.216819,-0.842111,-31.337852,16.861885,,,,,,
1480499940.01,0.102195,0.662504,2.762704,0.722931,1.324523,-0.447226,0.080436,-0.615093,-0.784341,-0.008415,-0.119832,0.030923,-0.129987,-31.027271,17.446632,,,,,,
1480499940.02,0.121868,0.667810,2.754194,0.525729,1.321838,-0.588831,0.095451,-0.619268,-0.779356,0.141945,-0.081034,0.280989,-0.129987,-31.027271,17.446632,,,,,,
1480499940.03,0.135697,0.673263,2.745650,0.634148,0.557018,-0.552391,0.105762,-0.623540,-0.774605,0.101132,0.029622,0.450722,-0.281542,-30.775608,17.885080,,,,,,
1480499940.04,0.139924,0.681599,2.736018,0.949890,-0.383329,-0.598430,0.108306,-0.630035,-0.768977,-0.144851,0.343796,0.590586,-0.252325,-30.664503,18.075338,,,,,,
1480499940.05,0.137785,0.692515,2.726367,1.142779,-0.845779,-0.523207,0.105710,-0.638475,-0.762348,-0.142255,0.352235,0.583958,-0.252325,-30.664503,18.075338,,,,,,
1480499940.06,0.133789,0.703830,2.718060,1.104761,-0.855730,-0.421076,0.101693,-0.647143,-0.755556,-0.046669,0.518038,0.490358,0.304757,-30.275780,18.718378,,,,,,
1480499940.07,0.131126,0.713758,2.711355,0.940953,-0.593550,-0.314890,0.098835,-0.654679,-0.749418,-0.035801,0.608399,0.244031,0.304757,-30.275780,18.718378,,,,,,
1480499940.08,0.129695,0.722450,2.706942,0.812784,-0.328486,-0.174393,0.097023,-0.661225,-0.743887,0.068520,0.647492,0.113974,0.872136,-29.840412,19.387691,,,,,,
1480499940.09,0.130850,0.729620,2.703719,0.651457,-0.018516,-0.126183,0.097261,-0.666586,-0.739056,0.125807,0.743643,0.263363,0.872136,-29.840412,19.387691,,,,,,
1480499940.10,0.134604,0.735412,2.701156,0.541615,0.252645,-0.100740,0.099515,-0.670893,-0.734847,-0.050610,0.657343,0.934325,1.083779,-29.513485,19.871412,,,,,,
1480499940.11,0.141218,0.741558,2.698016,0.641442,0.473831,-0.155651,0.103791,-0.675438,-0.730076,-0.084473,0.642998,0.938023,1.076105,-29.392641,20.050140,,,,,,
1480499940.13,0.150256,0.750552,2.692705,0.978402,0.492410,-0.264312,0.109471,-0.682043,-0.723072,-0.090153,0.649603,0.931019,1.076105,-29.392641,20.050140,,,,,,
1480499940.14,0.158618,0.762960,2.685534,1.285294,0.252463,-0.305142,0.114168,-0.691064,-0.713720,-0.153994,0.714761,0.887579,1.076105,-29.392641,20.050140,,,,,,
1480499940.15,0.163502,0.776436,2.678645,1.301780,-0.073593,-0.228608,0.116126,-0.700742,-0.703901,-0.191474,0.740735,0.762296,1.014404,-28.792677,20.905649,,,,,,
1480499940.16,0.163065,0.788181,2.674098,1.064785,-0.425552,-0.075218,0.114474,-0.709072,-0.695782,-0.204944,0.798839,0.599225,1.090482,-28.492289,21.309475,,,,,,
1480499940.17,0.156983,0.797803,2.673556,0.844072,-0.643317,0.176937,0.109169,-0.715824,-0.689695,-0.167000,0.876773,0.404630,1.090482,-28.492289,21.309475,,,,,,
1480499940.18,0.147021,0.806542,2.677739,0.753410,-0.639417,0.462388,0.101373,-0.721898,-0.684534,-0.101769,0.909932,0.314096,1.313112,-28.023909,21.909580,,,,,,
1480499940.19,0.136094,0.815568,2.685454,0.779424,-0.436880,0.639209,0.092998,-0.728115,-0.679117,-0.013393,0.897884,0.409510,1.313112,-28.023909,21.909580,,,,,,
1480499940.20,0.129123,0.825346,2.692280,0.871107,-0.073640,0.490659,0.087342,-0.734783,-0.672656,0.054550,0.914653,0.597552,1.286219,-27.675545,22.349571,,,,,,
1480499940.21,0.133725,0.833929,2.693321,0.726269,0.722578,0.047587,0.089592,-0.740577,-0.665972,0.124276,0.936012,0.768389,1.286219,-27.675545,22.349571,,,,,,
1480499940.22,0.152691,0.837178,2.686804,0.210504,1.485225,-0.494422,0.101839,-0.742757,-0.661771,0.208936,0.996892,0.883375,0.995935,-27.289577,22.833755,,,,,,
1480499940.23,0.180053,0.832501,2.674443,-0.468010,1.731845,-0.941662,0.120527,-0.739617,-0.662148,0.174242,1.070367,0.976525,0.995935,-27.289577,22.833755,,,,,,
1480499940.24,0.210340,0.821466,2.657974,-0.888426,1.678238,-1.310179,0.142219,-0.732145,-0.666136,-0.607154,1.403059,1.497297,0.604554,-27.266254,22.875299,,,,,,
1480499940.25,0.241466,0.808571,2.638704,-0.869436,1.577867,-1.510126,0.165125,-0.723301,-0.670499,-0.722543,1.431324,1.626111,0.548895,-27.455891,22.648758,,,,,,
1480499940.26,0.273111,0.797407,2.619117,-0.620418,1.693483,-1.473159,0.188422,-0.715547,-0.672673,-0.745841,1.423571,1.628285,0.548895,-27.455891,22.648758,,,,,,
1480499940.27,0.307250,0.787401,2.601518,-0.580609,2.151965,-1.344849,0.213428,-0.708521,-0.672641,-0.693134,1.463709,1.616336,0.650740,-27.816761,22.201300,,,,,,
1480499940.29,0.344200,0.774509,2.586499,-0.934531,2.529932,-1.344620,0.241193,-0.699365,-0.672841,-0.590833,1.482950,1.499470,0.650740,-27.816761,22.201300,,,,,,
1480499940.30,0.379016,0.754657,2.573424,-1.606831,2.334591,-1.535706,0.269552,-0.685039,-0.676804,-0.452597,1.463023,1.345062,0.403202,-28.127592,21.812138,,,,,,
1480499940.31,0.409058,0.727267,2.563709,-2.250837,2.180374,-1.610331,0.297113,-0.664831,-0.685364,-0.279184,1.355779,1.296479,0.403202,-28.127592,21.812138,,,,,,
1480499940.32,0.437897,0.695680,2.556786,-2.543019,2.310408,-1.695150,0.325498,-0.640908,-0.695190,-0.174939,1.214730,1.391433,0.291811,-28.921007,20.750509,,,,,,
1480499940.33,0.468369,0.660842,2.548529,-2.709009,2.372436,-2.076982,0.356394,-0.613782,-0.704454,-0.193354,1.138028,1.468827,0.291811,-28.921007,20.750509,,,,,,
1480499940.34,0.499574,0.619220,2.538351,-3.283173,2.356102,-2.639402,0.390107,-0.580400,-0.714809,-0.197159,1.118395,1.411632,0.445768,-30.007999,19.141960,,,,,,
1480499940.35,0.531299,0.565811,2.534380,-4.529762,2.941288,-2.672523,0.427694,-0.536100,-0.727788,-0.168279,0.979170,1.358647,0.445768,-30.007999,19.141960,,,,,,
1480499940.36,0.562988,0.502161,2.549785,-6.188509,3.945256,-1.786847,0.467825,-0.481320,-0.741263,-0.074652,0.657086,1.150213,1.172569,-31.363413,16.794487,,,,,,
1480499940.37,0.593703,0.428101,2.590177,-8.069748,4.683601,-0.669979,0.508948,-0.415144,-0.754074,0.068063,-0.851778,-0.096223,1.240135,-32.308121,14.890962,,,,,,
